seq,time,lat,lng,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
102,2020-11-11T21:33:27.328Z,21.6436,121.8451,10,5,mww,,109,1.366,0.63,us,us7000cdjk,2020-11-18T02:15:52.719Z,"120 km ESE of Hengchun, Taiwan",earthquake,6,1.8,0.066,22,reviewed,us,us
103,2020-11-12T07:18:27.486Z,10.1895,126.2419,57.96,5.2,mww,,50,3.168,1.01,us,us7000cdq5,2020-11-15T06:42:23.272Z,"29 km NE of Santa Monica, Philippines",earthquake,8.3,5.1,0.063,24,reviewed,us,us
104,2020-11-12T19:19:48.079Z,4.1224,122.7402,572.87,5.1,mww,,38,3.574,1,us,us7000cdyv,2020-11-17T18:19:39.040Z,"230 km SSE of Tabiauan, Philippines",earthquake,9.3,5.1,0.098,10,reviewed,us,us
105,2020-11-13T04:35:43.731Z,-49.5935,117.2718,10,5,mb,,80,16.652,0.76,us,us7000ce6a,2020-11-13T04:52:58.040Z,western Indian-Antarctic Ridge,earthquake,14,1.9,0.113,25,reviewed,us,us
106,2020-11-13T09:12:43.707Z,-53.1761,160.0551,10,5.7,mww,,83,1.476,0.92,us,us7000ceaa,2020-11-14T09:17:13.278Z,Macquarie Island region,earthquake,8.7,1.9,0.078,16,reviewed,us,us
107,2020-11-13T09:13:51.862Z,38.1693,-117.8533,4.8,5.3,ml,34,38.45,0.016,0.1165,nn,nn00782942,2020-11-18T18:11:09.712Z,"33 km SE of Mina, Nevada",earthquake,,0.6,0.23,13,reviewed,nn,nn
108,2020-11-13T19:04:13.461Z,22.3605,-107.6652,10,5.3,mww,,175,4.729,0.79,us,us7000celp,2020-11-14T19:44:38.340Z,"161 km SW of Mazatlán, Mexico",earthquake,9.9,1.9,0.046,45,reviewed,us,us
109,2020-11-14T02:56:55.255Z,30.3638,67.4589,12.05,5.5,mww,,72,4.374,1.08,us,us7000cet5,2020-11-16T17:11:24.040Z,"15 km SSW of Alik Ghund, Pakistan",earthquake,8.3,4.3,0.08,15,reviewed,us,us
110,2020-11-14T06:42:34.057Z,-19.5938,168.7588,40.67,5.5,mww,,46,1.997,1.11,us,us7000ceup,2020-11-15T06:45:31.567Z,"55 km W of Isangel, Vanuatu",earthquake,6.8,5.4,0.08,15,reviewed,us,us
111,2020-11-14T08:50:26.090Z,23.6006,94.6245,102.86,5.1,mb,,41,0.692,0.87,us,us7000cevs,2020-11-14T22:32:17.430Z,"22 km ESE of Mawlaik, Myanmar",earthquake,6.7,6.6,0.075,57,reviewed,us,us
112,2020-11-14T10:39:15.838Z,-27.7588,74.0942,10,5.2,mb,,51,10.426,0.76,us,us7000cewj,2020-11-14T11:06:39.040Z,Mid-Indian Ridge,earthquake,10.3,1.8,0.067,73,reviewed,us,us
